Batch ID,Machine ID,Fabric type,Operator,Shift,Production quantity,Production speed,Waste quantity,Machine age,Last maintenance date,Humidity,Temperature,Machine failure
6253,L53432,Cotton,Op-14,Evening,15380,1538,13.0321,19.8,2026-01-01,100.8,60.30000000000001,0
4685,M19544,Polyester,Op-6,Night,14210,1421,20.0704,10.1,2026-01-01,103.60000000000002,61.80000000000001,1
1732,M16591,Polyester,Op-13,Evening,14850,1485,17.64,11.7,2026-01-01,98.3,57.89999999999998,0
4743,L51922,Cotton,Op-4,Morning,15920,1592,11.356900000000005,1.4,2026-01-01,103.3,61.30000000000001,0
4522,L51701,Cotton,Op-3,Evening,18650,1865,5.7121,12.9,2026-01-01,102.39999999999998,60.39999999999998,0
6341,H35754,Silk,Op-2,Night,13970,1397,21.0681,21.0,2026-01-01,100.5,59.89999999999998,1
577,H29990,Silk,Op-18,Evening,14400,1440,26.1121,19.1,2026-01-01,97.7,59.69999999999999,0
5203,L52382,Cotton,Op-4,Evening,13350,1335,26.1121,16.1,2026-01-01,103.7,62.69999999999999,0
6364,M21223,Polyester,Op-5,Evening,16180,1618,13.104400000000004,5.3,2026-01-01,100.0,59.60000000000002,0
440,M15299,Polyester,Op-1,Night,15350,1535,11.9716,5.1,2026-01-01,97.39999999999998,58.30000000000001,0
2751,H32164,Silk,Op-12,Morning,14560,1456,16.483600000000003,18.2,2026-01-01,99.7,59.19999999999999,0
7488,L54667,Cotton,Op-9,Morning,17070,1707,11.2896,15.8,2026-01-01,100.3,61.69999999999999,0
5273,M20132,Polyester,Op-14,Night,13960,1396,14.592400000000003,11.7,2026-01-01,103.60000000000002,63.0,0
5654,L52833,Cotton,Op-15,Night,14950,1495,13.542399999999995,21.5,2026-01-01,102.39999999999998,61.69999999999999,0
4000,L51179,Cotton,Op-1,Evening,14200,1420,21.0681,14.4,2026-01-01,102.0,61.0,0
6034,L53213,Cotton,Op-15,Evening,14710,1471,14.3641,8.6,2026-01-01,100.60000000000002,60.89999999999998,0
583,L47762,Cotton,Op-4,Evening,13410,1341,24.2064,20.8,2026-01-01,97.8,59.69999999999999,0
9931,L57110,Cotton,Op-12,Evening,14520,1452,20.7025,6.3,2026-01-01,98.3,58.30000000000001,0
