Batch ID,Machine ID,Fabric type,Operator,Shift,Production quantity,Production speed,Waste quantity,Machine age,Last maintenance date,Humidity,Temperature,Machine failure
1,M14860,Polyester,Op-2,Evening,15510,1551,18.318399999999997,0.0,2026-01-01,98.10000000000002,58.60000000000002,0
2,L47181,Cotton,Op-3,Night,14080,1408,21.436899999999994,0.3,2026-01-01,98.19999999999999,58.69999999999999,0
3,L47182,Cotton,Op-4,Morning,14980,1498,24.403599999999997,0.5,2026-01-01,98.10000000000002,58.5,0
4,L47183,Cotton,Op-5,Evening,14330,1433,15.6025,0.7,2026-01-01,98.19999999999999,58.60000000000002,0
5,L47184,Cotton,Op-6,Night,14080,1408,16.0,0.9,2026-01-01,98.19999999999999,58.69999999999999,0
6,M14865,Polyester,Op-7,Morning,14250,1425,17.5561,1.1,2026-01-01,98.10000000000002,58.60000000000002,0
7,L47186,Cotton,Op-8,Evening,15580,1558,17.9776,1.4,2026-01-01,98.10000000000002,58.60000000000002,0
8,L47187,Cotton,Op-9,Night,15270,1527,16.160400000000003,1.6,2026-01-01,98.10000000000002,58.60000000000002,0
9,M14868,Polyester,Op-10,Morning,16670,1667,8.1796,1.8,2026-01-01,98.30000000000001,58.69999999999999,0
10,M14869,Polyester,Op-11,Evening,17410,1741,7.84,2.1,2026-01-01,98.5,59.0,0
11,H29424,Silk,Op-12,Night,17820,1782,5.7120999999999995,2.4,2026-01-01,98.39999999999998,58.89999999999998,0
12,H29425,Silk,Op-13,Morning,14230,1423,19.624899999999997,2.9,2026-01-01,98.60000000000002,59.10000000000002,0
13,M14872,Polyester,Op-14,Evening,13390,1339,26.1121,3.4,2026-01-01,98.60000000000002,59.10000000000002,0
14,M14873,Polyester,Op-15,Night,17420,1742,9.0,3.7,2026-01-01,98.60000000000002,59.19999999999999,0
15,L47194,Cotton,Op-16,Morning,20350,2035,3.841600000000001,4.0,2026-01-01,98.60000000000002,59.19999999999999,0
16,L47195,Cotton,Op-17,Evening,15420,1542,23.4256,4.2,2026-01-01,98.60000000000002,59.19999999999999,0
17,M14876,Polyester,Op-18,Night,13110,1311,21.7156,4.4,2026-01-01,98.60000000000002,59.19999999999999,0
18,M14877,Polyester,Op-19,Morning,14100,1410,20.7936,4.7,2026-01-01,98.69999999999999,59.19999999999999,0
19,H29432,Silk,Op-20,Evening,13060,1306,29.7025,5.0,2026-01-01,98.80000000000001,59.19999999999999,0
20,M14879,Polyester,Op-1,Night,16320,1632,10.5625,5.5,2026-01-01,98.89999999999998,59.30000000000001,0
21,H29434,Silk,Op-2,Morning,13750,1375,18.2329,5.8,2026-01-01,98.89999999999998,59.30000000000001,0
22,L47201,Cotton,Op-3,Evening,14500,1450,20.070399999999996,6.3,2026-01-01,98.80000000000001,59.30000000000001,0
23,M14882,Polyester,Op-4,Night,15810,1581,9.424900000000001,6.5,2026-01-01,98.89999999999998,59.30000000000001,0
24,L47203,Cotton,Op-5,Morning,17580,1758,6.6049,6.8,2026-01-01,99.0,59.39999999999998,0
25,M14884,Polyester,Op-6,Evening,15610,1561,13.912899999999997,7.0,2026-01-01,99.0,59.39999999999998,0
26,L47205,Cotton,Op-7,Night,18610,1861,5.4289,7.3,2026-01-01,99.0,59.5,0
27,L47206,Cotton,Op-8,Morning,15120,1512,15.21,7.5,2026-01-01,99.10000000000002,59.5,0
28,H29441,Silk,Op-9,Evening,18110,1811,6.0516000000000005,7.7,2026-01-01,99.10000000000002,59.39999999999998,0
29,L47208,Cotton,Op-10,Night,14390,1439,19.536400000000004,8.2,2026-01-01,99.10000000000002,59.39999999999998,0
30,L47209,Cotton,Op-11,Morning,16930,1693,9.0601,8.4,2026-01-01,99.0,59.39999999999998,0
31,M14890,Polyester,Op-12,Evening,13390,1339,23.232400000000002,8.6,2026-01-01,99.10000000000002,59.5,0
32,L47211,Cotton,Op-13,Night,17980,1798,6.5025,8.9,2026-01-01,99.0,59.39999999999998,0
33,L47212,Cotton,Op-14,Morning,14190,1419,23.328899999999997,9.1,2026-01-01,99.0,59.39999999999998,0
34,L47213,Cotton,Op-15,Evening,16650,1665,10.5625,9.3,2026-01-01,98.89999999999998,59.30000000000001,0
35,M14894,Polyester,Op-16,Night,15590,1559,12.0409,9.5,2026-01-01,98.80000000000001,59.10000000000002,0
36,M14895,Polyester,Op-17,Morning,14520,1452,23.619600000000002,9.8,2026-01-01,98.80000000000001,59.19999999999999,0
37,M14896,Polyester,Op-18,Evening,15810,1581,13.468900000000001,10.1,2026-01-01,98.89999999999998,59.19999999999999,0
38,L47217,Cotton,Op-19,Night,14390,1439,15.366400000000004,10.4,2026-01-01,98.80000000000001,59.10000000000002,0
39,H29452,Silk,Op-20,Morning,13790,1379,25.704900000000002,10.6,2026-01-01,98.89999999999998,59.19999999999999,0
40,L47219,Cotton,Op-1,Evening,13500,1350,27.5625,11.1,2026-01-01,98.80000000000001,59.10000000000002,0
41,L47220,Cotton,Op-2,Night,13620,1362,20.6116,11.3,2026-01-01,98.80000000000001,59.10000000000002,0
42,L47221,Cotton,Op-3,Morning,13680,1368,25.8064,11.5,2026-01-01,98.80000000000001,59.10000000000002,0
43,M14902,Polyester,Op-4,Evening,13680,1368,24.1081,11.7,2026-01-01,98.80000000000001,59.10000000000002,0
44,H29457,Silk,Op-5,Night,13720,1372,23.5225,12.0,2026-01-01,98.80000000000001,59.19999999999999,0
45,M14904,Polyester,Op-6,Morning,14720,1472,22.5625,12.5,2026-01-01,98.80000000000001,59.10000000000002,0
46,L47225,Cotton,Op-7,Evening,14890,1489,24.1081,12.8,2026-01-01,98.80000000000001,59.10000000000002,0
47,M14906,Polyester,Op-8,Night,18430,1843,6.6564,13.0,2026-01-01,98.69999999999999,59.0,0
48,L47227,Cotton,Op-9,Morning,14180,1418,21.436899999999994,13.3,2026-01-01,98.80000000000001,59.10000000000002,0
49,H29462,Silk,Op-10,Evening,14250,1425,29.0521,13.5,2026-01-01,98.80000000000001,59.19999999999999,0
50,M14909,Polyester,Op-11,Night,14120,1412,19.4481,14.0,2026-01-01,98.89999999999998,59.19999999999999,0
51,L47230,Cotton,Op-12,Morning,28610,2861,0.21159999999999995,14.3,2026-01-01,98.89999999999998,59.10000000000002,1
52,L47231,Cotton,Op-13,Evening,13830,1383,30.140099999999997,14.5,2026-01-01,98.89999999999998,59.10000000000002,0
53,H29466,Silk,Op-14,Night,14970,1497,19.184399999999997,14.7,2026-01-01,98.80000000000001,59.0,0
54,L47233,Cotton,Op-15,Morning,15650,1565,12.3201,15.2,2026-01-01,98.69999999999999,59.0,0
55,L47234,Cotton,Op-16,Evening,16910,1691,9.0601,15.4,2026-01-01,98.69999999999999,59.0,0
56,L47235,Cotton,Op-17,Night,15120,1512,16.5649,15.6,2026-01-01,98.80000000000001,59.10000000000002,0
57,L47236,Cotton,Op-18,Morning,14770,1477,17.9776,15.8,2026-01-01,98.80000000000001,59.10000000000002,0
58,L47237,Cotton,Op-19,Evening,15130,1513,16.240899999999996,16.0,2026-01-01,98.80000000000001,59.10000000000002,0
59,M14918,Polyester,Op-20,Night,16610,1661,8.7025,16.2,2026-01-01,98.80000000000001,59.0,0
60,L47239,Cotton,Op-1,Morning,13780,1378,29.593599999999995,16.5,2026-01-01,98.80000000000001,59.10000000000002,0
61,L47240,Cotton,Op-2,Evening,13930,1393,27.667600000000004,16.7,2026-01-01,98.80000000000001,59.10000000000002,0
62,M14921,Polyester,Op-3,Night,15920,1592,14.592400000000003,16.9,2026-01-01,98.80000000000001,59.0,0
63,L47242,Cotton,Op-4,Morning,18290,1829,5.2440999999999995,17.2,2026-01-01,98.80000000000001,59.0,0
64,M14923,Polyester,Op-5,Evening,18120,1812,6.708099999999999,17.4,2026-01-01,98.89999999999998,59.0,0
65,L47244,Cotton,Op-6,Night,15230,1523,14.8996,17.7,2026-01-01,99.0,59.10000000000002,0
66,L47245,Cotton,Op-7,Morning,13940,1394,20.340100000000003,17.9,2026-01-01,99.0,59.10000000000002,0
67,M14926,Polyester,Op-8,Evening,16790,1679,8.236899999999999,18.1,2026-01-01,98.89999999999998,58.89999999999998,0
68,H29481,Silk,Op-9,Night,14660,1466,19.4481,18.4,2026-01-01,98.80000000000001,58.89999999999998,0
69,L47248,Cotton,Op-10,Morning,15270,1527,10.4976,18.9,2026-01-01,98.80000000000001,58.89999999999998,0
70,L47249,Cotton,Op-11,Evening,14100,1410,43.16490000000001,19.1,2026-01-01,98.89999999999998,59.0,1
71,M14930,Polyester,Op-12,Night,19240,1924,5.107600000000001,19.3,2026-01-01,98.89999999999998,59.0,0
72,L47251,Cotton,Op-13,Morning,14520,1452,20.7025,19.6,2026-01-01,98.89999999999998,59.10000000000002,0
73,L47252,Cotton,Op-14,Evening,13690,1369,19.7136,19.8,2026-01-01,98.89999999999998,59.10000000000002,0
74,L47253,Cotton,Op-15,Night,15920,1592,12.25,20.0,2026-01-01,99.0,59.10000000000002,0
75,L47254,Cotton,Op-16,Morning,16010,1601,10.432899999999997,20.2,2026-01-01,98.89999999999998,59.0,0
76,L47255,Cotton,Op-17,Evening,13790,1379,21.808900000000005,20.4,2026-01-01,98.80000000000001,58.89999999999998,0
77,L47256,Cotton,Op-18,Night,14610,1461,22.9441,20.6,2026-01-01,98.80000000000001,58.89999999999998,0
78,L47257,Cotton,Op-19,Morning,14550,1455,17.0569,20.8,2026-01-01,98.80000000000001,58.89999999999998,1
79,L47258,Cotton,Op-20,Evening,13980,1398,26.5225,0.0,2026-01-01,98.80000000000001,58.89999999999998,0
80,L47259,Cotton,Op-1,Night,14020,1402,14.364099999999999,0.2,2026-01-01,98.80000000000001,58.89999999999998,0
81,H29494,Silk,Op-2,Morning,14450,1445,24.9001,0.4,2026-01-01,98.80000000000001,58.80000000000001,0
82,L47261,Cotton,Op-3,Evening,14500,1450,22.5625,0.9,2026-01-01,98.89999999999998,58.89999999999998,0
83,L47262,Cotton,Op-4,Night,14530,1453,16.6464,1.1,2026-01-01,98.89999999999998,58.89999999999998,0
84,L47263,Cotton,Op-5,Morning,14690,1469,16.0801,1.3,2026-01-01,99.0,59.0,0
85,L47264,Cotton,Op-6,Evening,14220,1422,22.657600000000002,1.5,2026-01-01,98.89999999999998,58.89999999999998,0
86,M14945,Polyester,Op-7,Night,18040,1804,7.1824,1.7,2026-01-01,99.0,59.0,0
87,H29500,Silk,Op-8,Morning,14360,1436,19.2721,2.0,2026-01-01,99.0,59.0,0
88,L47267,Cotton,Op-9,Evening,15440,1544,10.112400000000001,2.5,2026-01-01,99.0,59.0,0
89,M14948,Polyester,Op-10,Night,14190,1419,20.430400000000002,2.7,2026-01-01,99.0,59.0,0
90,M14949,Polyester,Op-11,Morning,14870,1487,15.6025,3.0,2026-01-01,98.89999999999998,58.89999999999998,0
91,L47270,Cotton,Op-12,Evening,17530,1753,6.6564,3.3,2026-01-01,98.89999999999998,58.89999999999998,0
92,L47271,Cotton,Op-13,Night,18300,1830,6.200099999999999,3.5,2026-01-01,98.89999999999998,58.89999999999998,0
93,M14952,Polyester,Op-14,Morning,17270,1727,7.344100000000001,3.7,2026-01-01,98.89999999999998,58.89999999999998,0
94,L47273,Cotton,Op-15,Evening,14500,1450,18.49,4.0,2026-01-01,99.10000000000002,59.0,0
95,L47274,Cotton,Op-16,Night,16220,1622,10.176099999999998,4.2,2026-01-01,99.0,58.89999999999998,0
96,M14955,Polyester,Op-17,Morning,13510,1351,27.2484,4.4,2026-01-01,99.0,59.0,0
97,M14956,Polyester,Op-18,Evening,15750,1575,12.460899999999997,4.7,2026-01-01,99.0,59.0,0
